C,Si,Mn,P,S,Cr,Ni,Al,Cu,steel_class
"0,2455","0,2715","0,75","0,03955","0,0466","0,0153833333333333","0,0401833333333333","0,0024","0,144833333333333",St 48
"0,238","0,249333333333333","0,66","0,0324333333333333","0,04","0,0121166666666667","0,0311","0,00201666666666667","0,134",St 48
"0,235166666666667","0,252","0,68","0,0376","0,0472","0,0119833333333333","0,0307666666666667","0,00261666666666667","0,134",St 48
"0,147166666666667","0,324833333333333","0,72","0,0295666666666667","0,0408166666666667","0,02985","0,0762333333333333","0,00671666666666667","0,201333333333333",St 48
"0,224166666666667","0,4605","0,48","0,0156333333333333","0,0375166666666667","0,0107666666666667","0,0587333333333333","0,00813333333333333","0,292166666666667",St 48
"0,06055","0,005","0,36","0,00801666666666667","0,0248166666666667","0,005","0,0408333333333333","0,0029","0,108333333333333",St 37
"0,230166666666667","0,270166666666667","0,75","0,0409666666666667","0,0413666666666667","0,01625","0,0408333333333333","0,00296666666666667","0,142666666666667",St 48
"0,205833333333333","0,309166666666667","0,63","0,0261666666666667","0,0488666666666667","0,03165","0,116833333333333","0,00576666666666667","0,191333333333333",St 48
"0,246833333333333","0,220666666666667","0,826833333333333","0,0324833333333333","0,0559833333333333","0,00611666666666667","0,0543","0,00223333333333333","0,165333333333333",St 48
"0,217","0,005","0,435333333333333","0,00976666666666667","0,0244","0,005","0,05545","0,002","0,139166666666667",St 48-TH
"0,248","0,005","0,439","0,0134","0,0406","0,0055","0,0614","0,002","0,137",St 48-TH
"0,213333333333333","0,217833333333333","0,8125","0,0280333333333333","0,0414333333333333","0,00558333333333333","0,05175","0,00216666666666667","0,1615",St 48
"0,23","0,226","0,802","0,028","0,0636","0,005","0,057","0,002","0,166",St 48
"0,2","0,22","0,79","0,033","0,005","0,02","0,05","0,003","0,16",St 48
"0,2555","0,184","0,677333333333333","0,0106666666666667","0,0329333333333333","0,005","0,02515","0,002","0,0979166666666667",St 48
"0,236666666666667","0,196666666666667","0,696166666666667","0,00866666666666667","0,0417666666666667","0,005","0,0296","0,002","0,101",St 48
"0,210666666666667","0,178833333333333","0,7355","0,0155166666666667","0,0398833333333333","0,0109","0,0398666666666667","0,002","0,111666666666667",St 48
